PublishedAgo,Rating,Employer,JobTitle,Founded,Type,Industry,Sector,MinSalary,MaxSalary,City,State,Country,MinSize,MaxSize,MinRevenue,MaxRevenue
9d,3.6,Sephora USA,"Principal Engineer, ML",1969.0,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,171.0,236.0,San Francisco, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
17d,4.0,Honeywell,AI/ML Research Engineer/Scientist,1885.0,Company - Public,Computer Hardware Development,Information Technology,60.0,86.0,Plymouth, MN,United States,10000.0,10000.0,10000000000.0,10000000000.0
30d+,3.5,Discord,Staff Software Engineer - Applied Machine Learning,2015.0,Company - Private,Internet & Web Services,Information Technology,136.0,194.0,San Francisco, CA,United States,501.0,1000.0,25000000.0,100000000.0
2d,4.3,Microsoft,"AI Designer, Industry Solutions Engineering",1975.0,Company - Public,Computer Hardware Development,Information Technology,134.0,257.0,Houston, TX,United States,10000.0,10000.0,10000000000.0,10000000000.0
3d,3.9,Meta,"Software Engineer, Machine Learning - Generative AI",2004.0,Company - Public,Internet & Web Services,Information Technology,173.0,241.0,Menlo Park, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
18d,3.6,Tesla,ML Supercomputer Performance Software Engineer - Autopilot AI / Tesla Bot (System-Level),2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,121.0,181.0,Palo Alto, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
30d+,4.0,Sony Electronics,AI Engineer (AI Ethics),1946.0,Subsidiary or Business Segment,Consumer Product Manufacturing,Manufacturing,95.0,165.0,New York, NY,United States,10000.0,10000.0,1000000000.0,5000000000.0
1d,5.0,MindsDB,Applied Machine Learning Engineer,2017.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,160.0,190.0,San Francisco, CA,United States,1.0,50.0,,
20d,4.2,Workday,Machine Learning Engineer - NLP - Workforce,2005.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,139.0,209.0,Atlanta, GA,United States,10000.0,10000.0,1000000000.0,5000000000.0
30d+,4.2,Booz Allen Hamilton,AI Prompt Engineer,1914.0,Company - Public,Business Consulting,Management & Consulting,93.0,212.0,Bethesda, MD,United States,10000.0,10000.0,5000000000.0,10000000000.0
12d,3.5,Eightfold.AI,Machine Learning Engineer,2016.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,121.0,163.0,Santa Clara, CA,United States,501.0,1000.0,,
30d+,4.5,Curai,Machine Learning Engineer (Remote),2017.0,Company - Private,Hospitals & Health Clinics,Healthcare,150.0,200.0,San Francisco, CA,United States,51.0,200.0,,
30d+,4.4,Adobe,Research Scientist/Engineer,1982.0,Company - Public,Computer Hardware Development,Information Technology,121.0,239.0,San Jose, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
5d,4.3,Microsoft,Software Engineer,1975.0,Company - Public,Computer Hardware Development,Information Technology,76.0,152.0,Redmond, WA,United States,10000.0,10000.0,10000000000.0,10000000000.0
6d,4.7,NVIDIA,Architecture Energy Modeling Engineer,1993.0,Company - Public,Computer Hardware Development,Information Technology,156.0,288.0,Santa Clara, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
2d,4.3,Microsoft,"Principal Software Engineer (AI), Industry Solutions Engineering",1975.0,Company - Public,Computer Hardware Development,Information Technology,134.0,257.0,Redmond, WA,United States,10000.0,10000.0,10000000000.0,10000000000.0
4d,4.7,NVIDIA,"Lead Engineer, End User Support - IT",1993.0,Company - Public,Computer Hardware Development,Information Technology,196.0,311.0,Santa Clara, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
6d,4.2,Hewlett Packard Enterprise,AI Solution Engineer,2015.0,Company - Public,Information Technology Support Services,Information Technology,123.0,283.0,San Jose, CA,United States,10000.0,10000.0,,
11d,4.0,Honeywell,Software Engineering Co-op (Fall 2023),1885.0,Company - Public,Computer Hardware Development,Information Technology,81.0,121.0,Mason, OH,United States,10000.0,10000.0,10000000000.0,10000000000.0
9d,3.6,Sephora USA,"Principal Engineer, ML",1969.0,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,171.0,236.0,San Francisco, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
2d,4.3,Microsoft,"Machine Learning Engineer, Industry Solutions Engineering",1975.0,Company - Public,Computer Hardware Development,Information Technology,134.0,257.0,Redmond, WA,United States,10000.0,10000.0,10000000000.0,10000000000.0
17d,4.0,Honeywell,AI/ML Research Engineer/Scientist,1885.0,Company - Public,Computer Hardware Development,Information Technology,60.0,86.0,Plymouth, MN,United States,10000.0,10000.0,10000000000.0,10000000000.0
30d+,3.5,Discord,Staff Software Engineer - Applied Machine Learning,2015.0,Company - Private,Internet & Web Services,Information Technology,136.0,194.0,San Francisco, CA,United States,501.0,1000.0,25000000.0,100000000.0
2d,4.3,Microsoft,"AI Designer, Industry Solutions Engineering",1975.0,Company - Public,Computer Hardware Development,Information Technology,134.0,257.0,Houston, TX,United States,10000.0,10000.0,10000000000.0,10000000000.0
3d,3.9,Meta,"Software Engineer, Machine Learning - Generative AI",2004.0,Company - Public,Internet & Web Services,Information Technology,173.0,241.0,Menlo Park, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
30d+,3.6,Tesla,"Machine Learning Engineer – 3D computer vision, Autopilot AI",2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,133.0,189.0,Palo Alto, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
18d,3.6,Tesla,ML Supercomputer Performance Software Engineer - Autopilot AI / Tesla Bot (System-Level),2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,121.0,181.0,Palo Alto, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
1d,5.0,MindsDB,Applied Machine Learning Engineer,2017.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,160.0,190.0,San Francisco, CA,United States,1.0,50.0,,
30d+,4.0,Sony Electronics,AI Engineer (AI Ethics),1946.0,Subsidiary or Business Segment,Consumer Product Manufacturing,Manufacturing,95.0,165.0,New York, NY,United States,10000.0,10000.0,1000000000.0,5000000000.0
20d,4.2,Workday,Machine Learning Engineer - NLP - Workforce,2005.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,139.0,209.0,Atlanta, GA,United States,10000.0,10000.0,1000000000.0,5000000000.0
30d+,4.2,Booz Allen Hamilton,AI Prompt Engineer,1914.0,Company - Public,Business Consulting,Management & Consulting,93.0,212.0,Bethesda, MD,United States,10000.0,10000.0,5000000000.0,10000000000.0
9d,4.0,PayPal,AI Machine Learning Engineer,1998.0,Company - Public,Internet & Web Services,Information Technology,97.0,234.0,San Jose, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
12d,3.5,Eightfold.AI,Machine Learning Engineer,2016.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,121.0,163.0,Santa Clara, CA,United States,501.0,1000.0,,
30d+,4.4,Adobe,Research Scientist/Engineer,1982.0,Company - Public,Computer Hardware Development,Information Technology,121.0,239.0,San Jose, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
30d+,4.5,Curai,Machine Learning Engineer (Remote),2017.0,Company - Private,Hospitals & Health Clinics,Healthcare,150.0,200.0,San Francisco, CA,United States,51.0,200.0,,
5d,4.3,Microsoft,Software Engineer,1975.0,Company - Public,Computer Hardware Development,Information Technology,76.0,152.0,Redmond, WA,United States,10000.0,10000.0,10000000000.0,10000000000.0
